L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
2.362619e-09,9.759725e-08,7.013839e-07,3.207585e-07,2.456548e+07,6.741800e+06,5.651870e+06
4.740760e-08,2.315739e-08,1.455213e-08,4.227744e-07,3.807261e+07,3.173881e+07,1.010650e+07
1.077688e-08,2.544035e-08,8.943645e-09,8.834791e-08,1.018583e+08,5.830752e+07,2.109310e+07
9.482422e-07,2.733502e-09,3.415377e-09,9.077913e-09,1.757199e+07,2.058455e+07,2.007462e+08
6.151765e-07,1.743361e-07,5.347042e-08,1.506176e-07,5.513703e+06,5.665452e+06,6.171184e+06
2.091950e-09,3.994829e-08,9.111998e-09,4.132457e-09,2.290433e+08,9.146890e+07,7.782994e+07
4.841926e-07,1.882212e-09,9.786506e-08,4.274062e-07,4.593853e+06,5.082835e+06,3.525700e+07
6.592313e-08,3.929220e-08,2.000886e-07,2.647642e-08,8.707027e+06,2.016119e+07,3.100396e+07
8.941577e-09,7.102675e-07,1.008294e-07,5.515521e-08,3.330423e+07,6.244914e+06,5.052377e+06
2.287466e-07,1.165064e-09,1.207684e-09,3.356064e-09,6.016529e+07,6.998235e+07,5.057199e+08
5.135402e-07,7.214548e-08,1.172237e-09,2.515648e-08,4.075727e+07,3.904360e+07,2.347310e+07
1.668555e-07,5.390306e-09,1.565082e-08,8.008418e-08,1.956866e+07,2.105810e+07,4.813045e+07
3.722177e-09,7.196659e-07,8.807408e-09,1.566836e-08,1.746536e+08,1.565837e+07,9.417220e+06
1.175795e-07,7.913255e-07,6.917423e-07,8.084889e-08,3.506404e+06,3.898580e+06,3.953533e+06
1.104466e-07,6.355699e-08,9.228811e-07,1.365483e-07,3.132211e+06,6.950898e+06,1.073434e+07
1.972806e-09,5.077433e-07,1.710481e-08,1.021033e-07,1.721467e+08,1.157204e+07,4.391956e+06
1.436906e-08,1.392428e-09,1.362639e-08,1.393506e-08,7.146533e+07,9.596383e+07,2.270174e+08
1.181398e-08,1.654020e-09,3.067379e-09,7.059452e-09,1.661186e+08,1.863443e+08,2.926471e+08
3.315861e-07,3.888128e-08,9.267203e-09,1.015583e-09,1.803963e+07,5.430607e+07,1.591373e+08
1.551776e-08,3.221590e-08,2.271532e-07,4.522077e-09,1.684326e+07,6.873835e+07,8.285065e+07
