L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
2.466968e-08,5.012349e-09,5.551968e-08,3.311817e-09,2.702059e+07,1.038249e+08,2.454405e+08
1.489996e-09,3.897173e-07,7.349225e-07,1.134824e-07,3.021946e+07,5.099329e+06,4.755113e+06
6.719978e-08,4.396948e-07,9.297913e-08,2.299723e-07,1.265096e+07,5.458575e+06,3.144753e+06
8.579172e-07,3.435217e-08,2.225747e-08,6.735215e-09,7.236681e+06,1.472254e+07,6.574265e+07
7.488746e-07,6.497977e-09,6.887281e-09,1.192685e-09,1.392424e+07,3.608589e+07,3.592098e+08
2.318151e-07,2.920998e-09,3.275427e-07,4.618478e-07,3.629069e+06,4.714901e+06,2.722607e+07
3.273210e-09,8.586383e-07,4.766323e-08,1.790474e-09,8.006106e+07,2.592939e+07,2.550415e+07
1.909414e-09,6.100257e-07,4.289462e-09,2.477561e-08,3.494206e+08,2.114070e+07,8.134180e+06
3.904841e-07,1.515820e-08,2.847541e-09,7.718182e-09,2.998909e+07,3.442591e+07,9.245250e+07
3.659822e-09,3.542856e-08,7.651067e-07,7.522972e-08,1.889770e+07,1.932622e+07,1.936995e+07
3.775122e-09,3.270031e-08,5.212373e-08,3.568093e-07,7.128805e+07,2.455218e+07,9.257760e+06
1.633292e-07,7.840634e-09,8.542957e-08,2.017224e-08,8.465722e+06,1.892086e+07,7.951468e+07
3.806571e-09,5.827164e-07,8.313753e-07,4.992971e-07,1.777602e+07,2.337841e+06,1.853924e+06
2.567472e-09,3.915629e-09,3.186743e-07,1.946148e-09,3.496017e+07,2.823857e+08,3.622524e+08
3.715132e-07,4.955950e-09,9.867670e-08,4.322980e-08,5.222826e+06,9.400209e+06,6.831954e+07
7.175169e-09,1.851917e-09,1.028628e-09,1.312716e-07,3.680906e+08,3.294518e+08,6.413628e+07
3.760574e-09,8.822655e-08,3.115892e-07,3.929650e-08,2.921337e+07,1.765026e+07,1.698335e+07
1.034645e-09,2.264074e-07,1.274924e-07,2.617602e-09,8.706874e+07,4.140244e+07,4.107739e+07
4.840252e-07,3.473731e-08,6.959042e-08,9.207706e-09,5.448680e+06,1.539654e+07,5.591472e+07
2.869093e-08,2.474210e-09,2.523607e-09,3.625597e-09,1.175214e+08,1.468501e+08,3.338812e+08
1.461709e-08,4.212877e-09,2.559548e-07,7.233085e-07,1.634888e+07,1.676029e+07,1.811544e+07
1.975551e-09,2.438219e-09,8.819905e-09,7.501242e-09,2.395653e+08,2.364133e+08,2.338283e+08
1.384143e-07,3.874460e-09,1.046694e-07,6.442010e-07,8.308061e+06,8.834816e+06,2.001630e+07
2.788909e-09,4.661529e-09,6.311790e-09,5.861224e-07,2.383453e+08,1.466084e+08,1.913117e+07
3.135830e-09,2.303974e-08,4.459244e-07,2.102152e-09,2.674195e+07,1.351267e+08,1.436909e+08
1.542976e-07,9.954963e-08,1.318680e-09,8.712612e-09,7.010527e+07,5.864734e+07,3.395518e+07
1.208923e-08,7.959215e-08,2.282227e-09,2.326508e-09,1.903800e+08,9.730130e+07,7.348736e+07
1.860426e-07,2.592640e-09,4.793696e-07,3.194015e-07,3.348564e+06,5.258914e+06,3.475045e+07
3.457319e-08,5.398978e-08,1.080789e-07,8.925776e-09,1.635911e+07,3.700684e+07,4.555344e+07
9.395972e-09,2.747542e-09,6.853083e-08,9.642232e-07,3.940816e+07,3.587521e+07,1.942849e+07
2.000799e-09,4.587570e-07,3.640493e-08,2.173012e-09,1.171704e+08,3.253284e+07,3.167215e+07
2.442840e-08,8.304387e-08,3.922573e-08,1.581575e-09,3.230480e+07,7.823307e+07,8.725722e+07
2.281388e-08,6.269077e-09,1.403675e-09,6.886705e-09,1.767124e+08,1.717232e+08,1.521922e+08
1.161717e-08,6.478944e-09,2.961584e-09,7.299437e-09,1.704857e+08,1.619556e+08,1.454130e+08
7.837529e-07,1.639186e-08,8.864029e-09,2.252990e-07,1.199761e+07,1.210541e+07,1.645531e+07
1.059281e-08,5.015896e-07,1.106020e-09,2.431241e-09,2.921548e+08,5.067873e+07,2.863596e+07
4.167231e-07,3.294030e-08,5.034230e-08,3.027458e-07,6.904141e+06,7.177813e+06,1.001376e+07
2.114967e-09,5.159928e-08,1.384460e-08,4.755857e-07,1.848026e+08,3.720027e+07,6.383573e+06
1.623186e-09,8.912793e-08,1.480137e-07,2.263212e-07,6.451563e+07,1.109662e+07,7.040938e+06
3.362682e-09,1.426873e-07,6.285648e-09,2.878960e-09,2.175114e+08,5.888618e+07,4.933891e+07
2.107993e-07,5.164215e-07,1.544079e-07,9.700611e-07,5.542817e+06,3.212967e+06,1.412857e+06
7.581417e-07,1.300685e-09,1.650644e-07,2.380923e-08,2.826820e+06,7.954975e+06,1.796972e+08
4.340432e-08,3.307892e-07,1.698970e-08,1.480361e-09,3.682482e+07,4.430057e+07,4.518980e+07
2.143925e-09,2.017768e-08,5.399441e-07,1.312167e-09,2.939143e+07,1.849992e+08,1.943434e+08
1.664778e-07,6.440710e-08,4.378711e-08,4.767427e-07,1.171248e+07,1.039226e+07,5.706779e+06
1.556291e-09,1.646551e-09,6.104470e-08,1.940628e-08,1.025960e+08,1.456139e+08,1.769054e+08
1.116432e-09,1.000610e-08,1.825686e-09,3.233659e-09,7.004398e+08,2.775781e+08,1.758006e+08
4.163153e-09,6.955522e-07,1.646758e-08,1.295955e-07,1.207741e+08,9.890077e+06,3.330736e+06
9.117487e-08,2.070758e-07,6.267982e-07,2.119943e-09,4.183103e+06,3.983643e+07,4.772800e+07
4.123239e-07,9.708608e-09,3.676760e-09,5.013538e-08,2.568314e+07,2.630040e+07,4.532620e+07
2.052695e-09,1.495872e-08,2.716024e-09,2.797174e-08,4.235171e+08,1.540940e+08,4.888696e+07
1.270788e-08,4.780353e-07,1.135530e-08,6.013499e-08,8.324614e+07,1.460607e+07,5.898022e+06
4.032611e-07,3.794967e-07,7.033482e-09,3.381680e-07,1.877680e+07,1.361668e+07,2.791450e+06
